img_id,latency_ms,num_preds,num_gts,tp,fp,fn,precision,recall,f1,sensitivity,specificity,mean_iou,mean_dice
90,30.319929122924805,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.885209699080646,0.9388719685549095
91,30.09486198425293,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8824261729617183,0.9372460401923489
92,30.19547462463379,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8762879372796913,0.9336783486819824
93,30.53760528564453,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8793890196530061,0.935543353628979
94,30.226707458496094,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8765296808449881,0.9339061683775526
95,30.06148338317871,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8835808422491588,0.9377503117667482
96,29.75296974182129,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8732641223507354,0.9316968903006346
97,29.38246726989746,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8791944541843149,0.935201797459829
98,30.059337615966797,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8741069841324648,0.9323091066286024
99,30.22027015686035,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8909534644924433,0.9418773931811543
100,30.020475387573242,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8782373357597599,0.9351199601401947
101,30.7309627532959,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8678991468078872,0.9285345185540279
102,30.237674713134766,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8924691799503832,0.9428512095873776
103,30.416011810302734,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.7344445619633836,0.8343270081446423
104,30.455827713012695,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9039911193118733,0.9495472573406961
105,29.830455780029297,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.7859505858979376,0.8799750677644399
106,30.45344352722168,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8778386319702725,0.9344893857148426
107,30.698776245117188,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8738775109100629,0.9326728680213494
108,31.130313873291016,1,2,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,30.350208282470703,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.9204620986180798,0.958538583375351
110,30.485153198242188,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.698125320785395,0.8148588964387476
111,30.12704849243164,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8419956733471878,0.9116724372567744
112,30.102252960205078,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8681013930594725,0.9283966441705938
113,29.895305633544922,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8325182755999901,0.908596981739217
114,29.857397079467773,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8815752246176692,0.9369932623781525
115,29.668569564819336,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8567360476285122,0.9228005637110668
116,29.944419860839844,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8237577416265665,0.9029242269533959
117,29.926776885986328,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8616970865216008,0.9253134534430892
118,30.002593994140625,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8262602344487993,0.9045928391562976
119,29.819250106811523,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8525659254218878,0.9197098456276925
120,29.916048049926758,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8399227006314641,0.9118682456798364
121,29.944181442260742,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8654325666022772,0.9269083886647057
122,30.275344848632812,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8647960268294407,0.9272426059300738
123,33.15901756286621,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8601125493804129,0.9239583580612323
124,29.19912338256836,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8989095233361455,0.9467421469742017
125,29.62946891784668,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8184772345639882,0.9000946208847878
126,29.73794937133789,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8770831885293855,0.9344842597920624
127,29.68144416809082,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8591880786896758,0.9242310961622082
128,29.793500900268555,2,2,1,1,1,0.5,0.5,0.5,0.5,0.5,0.9163812701130761,0.9563663394174219
129,29.849529266357422,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8921727489313074,0.9429903485692381
130,29.818296432495117,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8956973095950846,0.9448328206047687
