img_id,latency_ms,num_preds,num_gts,tp,fp,fn,precision,recall,f1,mean_iou
43,53.81441116333008,2,2,2,0,0,1.0,1.0,1.0,0.9161138814081125
44,51.290273666381836,2,2,2,0,0,1.0,1.0,1.0,0.9098307181325161
45,53.351640701293945,2,2,2,0,0,1.0,1.0,1.0,0.909805998839454
46,51.68461799621582,2,2,2,0,0,1.0,1.0,1.0,0.8575118920564565
47,52.00982093811035,2,2,2,0,0,1.0,1.0,1.0,0.8961128019523724
48,51.97882652282715,2,2,2,0,0,1.0,1.0,1.0,0.9008657710786816
49,53.96223068237305,2,2,2,0,0,1.0,1.0,1.0,0.8340434152007358
50,51.728010177612305,2,2,2,0,0,1.0,1.0,1.0,0.7896879996479105
51,53.93195152282715,2,2,2,0,0,1.0,1.0,1.0,0.799355780828321
52,51.70154571533203,2,2,2,0,0,1.0,1.0,1.0,0.9086044479901096
53,51.94449424743652,2,2,2,0,0,1.0,1.0,1.0,0.9349722869959624
54,51.76997184753418,2,2,2,0,0,1.0,1.0,1.0,0.9239976405989736
55,51.97954177856445,2,2,2,0,0,1.0,1.0,1.0,0.9014392096414516
56,51.7423152923584,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.8629556711564415
57,52.00386047363281,3,2,0,3,2,0.0,0.0,0.0,0.0
58,51.851749420166016,2,2,2,0,0,1.0,1.0,1.0,0.795843881713004
59,51.93352699279785,2,2,2,0,0,1.0,1.0,1.0,0.8459373850461223
60,51.96118354797363,2,2,2,0,0,1.0,1.0,1.0,0.9067439473381101
61,53.87473106384277,2,2,2,0,0,1.0,1.0,1.0,0.9154657022503984
62,51.58352851867676,2,2,2,0,0,1.0,1.0,1.0,0.8795064832886921
63,53.468942642211914,2,2,2,0,0,1.0,1.0,1.0,0.9218387158015104
64,51.898956298828125,2,2,2,0,0,1.0,1.0,1.0,0.9214653515559017
65,51.87344551086426,2,2,2,0,0,1.0,1.0,1.0,0.9311651603433363
66,53.92003059387207,2,2,2,0,0,1.0,1.0,1.0,0.92802488446564
67,54.14128303527832,2,2,2,0,0,1.0,1.0,1.0,0.8764404189913187
68,51.93352699279785,2,2,2,0,0,1.0,1.0,1.0,0.8833993354731541
69,51.57780647277832,2,2,2,0,0,1.0,1.0,1.0,0.9200464994022547
70,47.5010871887207,1,1,1,0,0,1.0,1.0,1.0,0.9010268427351631
71,52.64425277709961,2,2,2,0,0,1.0,1.0,1.0,0.8920248967102582
72,51.78117752075195,2,2,2,0,0,1.0,1.0,1.0,0.8563995115708782
73,53.894758224487305,2,2,2,0,0,1.0,1.0,1.0,0.9087992141853471
74,51.80001258850098,2,2,2,0,0,1.0,1.0,1.0,0.8706840753465448
75,51.98478698730469,2,2,2,0,0,1.0,1.0,1.0,0.8752327195023291
76,51.72324180603027,2,2,2,0,0,1.0,1.0,1.0,0.884328992084793
77,53.75218391418457,2,2,2,0,0,1.0,1.0,1.0,0.9072704688242719
78,51.66053771972656,2,2,2,0,0,1.0,1.0,1.0,0.8981051502663288
79,52.271366119384766,2,2,2,0,0,1.0,1.0,1.0,0.9164446373422224
80,51.253557205200195,2,2,2,0,0,1.0,1.0,1.0,0.9036110875850178
81,51.47981643676758,2,2,2,0,0,1.0,1.0,1.0,0.9140581812721285
82,51.772117614746094,2,2,2,0,0,1.0,1.0,1.0,0.912622996787367
83,51.61023139953613,2,2,2,0,0,1.0,1.0,1.0,0.9094240763810824
84,51.7880916595459,2,2,2,0,0,1.0,1.0,1.0,0.9222475898530333
85,51.579952239990234,2,2,2,0,0,1.0,1.0,1.0,0.9247341251778829
86,51.62477493286133,2,2,2,0,0,1.0,1.0,1.0,0.901715854466203
87,51.64003372192383,2,2,2,0,0,1.0,1.0,1.0,0.9320390298570607
88,51.749229431152344,2,2,2,0,0,1.0,1.0,1.0,0.8952712343485472
89,51.8488883972168,2,2,2,0,0,1.0,1.0,1.0,0.8911006671253272
90,54.88443374633789,2,2,2,0,0,1.0,1.0,1.0,0.9064137169537015
91,53.85255813598633,2,2,2,0,0,1.0,1.0,1.0,0.9104801077738579
92,51.91922187805176,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.7103134015475706
93,53.243160247802734,2,2,2,0,0,1.0,1.0,1.0,0.8801130226326026
94,51.80191993713379,2,2,2,0,0,1.0,1.0,1.0,0.8990503342911611
95,52.17790603637695,2,2,2,0,0,1.0,1.0,1.0,0.9160957311181701
96,51.43117904663086,2,2,2,0,0,1.0,1.0,1.0,0.8452885447989366
97,51.454782485961914,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.8313318464696658
98,51.58233642578125,2,2,2,0,0,1.0,1.0,1.0,0.8837637820358692
99,53.52044105529785,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.8401838594877258
100,52.18100547790527,2,2,2,0,0,1.0,1.0,1.0,0.9547120634563437
101,51.92732810974121,2,2,2,0,0,1.0,1.0,1.0,0.8891053942218012
102,51.7725944519043,2,2,2,0,0,1.0,1.0,1.0,0.9258078649572314
103,54.89945411682129,2,2,2,0,0,1.0,1.0,1.0,0.9270656535017541
104,51.82361602783203,2,2,2,0,0,1.0,1.0,1.0,0.9228112488110979
105,51.8031120300293,2,2,2,0,0,1.0,1.0,1.0,0.918534556537221
106,51.72467231750488,2,2,2,0,0,1.0,1.0,1.0,0.9214045335126333
107,51.85103416442871,2,2,2,0,0,1.0,1.0,1.0,0.9175866108524451
108,51.726341247558594,2,2,2,0,0,1.0,1.0,1.0,0.9294910737481705
109,51.56278610229492,2,2,2,0,0,1.0,1.0,1.0,0.9188538247370868
110,51.384925842285156,2,2,2,0,0,1.0,1.0,1.0,0.9170358752015831
111,52.0472526550293,2,2,2,0,0,1.0,1.0,1.0,0.9247129710736461
112,51.499128341674805,2,2,2,0,0,1.0,1.0,1.0,0.9265629261453149
113,51.96738243103027,2,2,2,0,0,1.0,1.0,1.0,0.9233038457098504
114,51.5444278717041,2,2,2,0,0,1.0,1.0,1.0,0.9112272397094789
115,53.56287956237793,2,2,2,0,0,1.0,1.0,1.0,0.9197900409728399
116,51.78332328796387,2,2,2,0,0,1.0,1.0,1.0,0.9271428697676757
117,51.83911323547363,2,2,2,0,0,1.0,1.0,1.0,0.9217485751326263
118,51.75280570983887,2,2,2,0,0,1.0,1.0,1.0,0.9206438856903987
119,53.32660675048828,2,2,2,0,0,1.0,1.0,1.0,0.92079367121134
120,51.83005332946777,2,2,2,0,0,1.0,1.0,1.0,0.9227867874725662
121,51.95808410644531,2,2,2,0,0,1.0,1.0,1.0,0.920879438887507
122,51.59878730773926,2,2,2,0,0,1.0,1.0,1.0,0.9172588880690037
123,53.62653732299805,2,2,2,0,0,1.0,1.0,1.0,0.9119991479428464
124,52.12807655334473,2,2,2,0,0,1.0,1.0,1.0,0.9324367122641917
125,51.20563507080078,2,2,2,0,0,1.0,1.0,1.0,0.9176616393398165
126,52.05130577087402,2,2,2,0,0,1.0,1.0,1.0,0.9148719337117107
127,51.77903175354004,2,2,2,0,0,1.0,1.0,1.0,0.9388398384048153
128,51.37944221496582,2,2,2,0,0,1.0,1.0,1.0,0.9253798596980884
129,53.96580696105957,2,2,2,0,0,1.0,1.0,1.0,0.9309762148897434
130,51.75328254699707,2,2,2,0,0,1.0,1.0,1.0,0.9240075789021625
131,53.46369743347168,2,2,2,0,0,1.0,1.0,1.0,0.9294926049881702
132,52.16646194458008,2,2,2,0,0,1.0,1.0,1.0,0.9291441827604894
133,52.21724510192871,2,2,2,0,0,1.0,1.0,1.0,0.9194117364654912
134,52.182674407958984,2,2,2,0,0,1.0,1.0,1.0,0.9149926363986024
135,54.27217483520508,2,2,2,0,0,1.0,1.0,1.0,0.921354599860388
136,51.40089988708496,2,2,2,0,0,1.0,1.0,1.0,0.9201052223695309
137,51.70702934265137,2,2,2,0,0,1.0,1.0,1.0,0.9286926166972859
138,51.84674263000488,2,2,2,0,0,1.0,1.0,1.0,0.7753781258607442
139,53.2374382019043,2,2,2,0,0,1.0,1.0,1.0,0.9264182317834742
140,51.28765106201172,2,2,2,0,0,1.0,1.0,1.0,0.9314862759593259
141,51.85818672180176,2,2,2,0,0,1.0,1.0,1.0,0.9292853876871614
142,51.80001258850098,2,2,2,0,0,1.0,1.0,1.0,0.9153858231755018
143,51.682472229003906,2,2,2,0,0,1.0,1.0,1.0,0.9312367629443402
144,51.74446105957031,2,2,2,0,0,1.0,1.0,1.0,0.9302636797677879
145,51.923274993896484,2,2,2,0,0,1.0,1.0,1.0,0.9309027275604606
146,51.892995834350586,2,2,2,0,0,1.0,1.0,1.0,0.9213452306699893
147,51.656246185302734,2,2,2,0,0,1.0,1.0,1.0,0.924592436174474
148,51.74374580383301,2,2,2,0,0,1.0,1.0,1.0,0.8291031172415132
149,53.757667541503906,2,2,2,0,0,1.0,1.0,1.0,0.9289736839825586
150,51.6817569732666,2,2,2,0,0,1.0,1.0,1.0,0.9301848189221783
151,53.48324775695801,2,2,2,0,0,1.0,1.0,1.0,0.92339292903592
152,51.59306526184082,2,2,2,0,0,1.0,1.0,1.0,0.9197372509339041
153,51.87082290649414,2,2,2,0,0,1.0,1.0,1.0,0.9196249269581951
154,52.019596099853516,2,2,2,0,0,1.0,1.0,1.0,0.9306885207958662
155,51.911354064941406,2,2,2,0,0,1.0,1.0,1.0,0.923565443278505
156,51.73826217651367,2,2,2,0,0,1.0,1.0,1.0,0.9237064571553797
157,51.74970626831055,2,2,2,0,0,1.0,1.0,1.0,0.9328111409732642
158,51.83219909667969,2,2,2,0,0,1.0,1.0,1.0,0.9294488722227223
159,54.06069755554199,2,2,2,0,0,1.0,1.0,1.0,0.9191087425044069
160,51.5899658203125,2,2,2,0,0,1.0,1.0,1.0,0.9246264207497576
161,53.99894714355469,2,2,2,0,0,1.0,1.0,1.0,0.9216905527434346
162,51.522254943847656,2,2,2,0,0,1.0,1.0,1.0,0.9165120690931696
163,53.46870422363281,2,2,2,0,0,1.0,1.0,1.0,0.9154668670594961
164,52.01888084411621,2,2,2,0,0,1.0,1.0,1.0,0.9251714199272127
165,52.229881286621094,2,2,2,0,0,1.0,1.0,1.0,0.9410354783187971
166,51.52583122253418,2,2,2,0,0,1.0,1.0,1.0,0.9270488161971486
167,51.55658721923828,2,2,2,0,0,1.0,1.0,1.0,0.9359507408119574
168,51.60641670227051,2,2,2,0,0,1.0,1.0,1.0,0.9197865818622062
169,51.63240432739258,2,2,2,0,0,1.0,1.0,1.0,0.9279601095959895
170,51.35226249694824,2,2,2,0,0,1.0,1.0,1.0,0.9241878545813744
171,51.77593231201172,2,2,2,0,0,1.0,1.0,1.0,0.934135102217764
172,51.58686637878418,2,2,2,0,0,1.0,1.0,1.0,0.9240432605274458
173,52.09994316101074,2,2,2,0,0,1.0,1.0,1.0,0.9181668680579593
174,52.15024948120117,2,2,2,0,0,1.0,1.0,1.0,0.9261534099260289
175,54.053306579589844,2,2,2,0,0,1.0,1.0,1.0,0.9331583668929903
176,52.0017147064209,2,2,2,0,0,1.0,1.0,1.0,0.936195852562387
177,53.86185646057129,2,2,2,0,0,1.0,1.0,1.0,0.925913048765556
178,51.731109619140625,2,2,2,0,0,1.0,1.0,1.0,0.9210575766090217
179,52.23798751831055,2,2,2,0,0,1.0,1.0,1.0,0.9183401337313539
180,51.40185356140137,2,2,2,0,0,1.0,1.0,1.0,0.9219548708659457
181,51.751136779785156,2,2,2,0,0,1.0,1.0,1.0,0.9205419401229553
182,52.33430862426758,2,2,2,0,0,1.0,1.0,1.0,0.9224743621929385
183,51.60808563232422,2,2,2,0,0,1.0,1.0,1.0,0.9156284694603821
184,51.6965389251709,2,2,2,0,0,1.0,1.0,1.0,0.9219936001916609
185,51.53465270996094,2,2,2,0,0,1.0,1.0,1.0,0.927179119305926
186,51.65839195251465,2,2,2,0,0,1.0,1.0,1.0,0.9214535873019865
187,51.848649978637695,2,2,2,0,0,1.0,1.0,1.0,0.9161755403888024
188,51.49722099304199,2,2,2,0,0,1.0,1.0,1.0,0.9346839822235049
189,53.987741470336914,2,2,2,0,0,1.0,1.0,1.0,0.9140572227643415
190,51.81574821472168,2,2,2,0,0,1.0,1.0,1.0,0.9272305782712225
191,51.82290077209473,2,2,2,0,0,1.0,1.0,1.0,0.9177758653378277
192,51.74112319946289,2,2,2,0,0,1.0,1.0,1.0,0.9270982503634333
193,51.372528076171875,2,2,2,0,0,1.0,1.0,1.0,0.9246308990802106
194,51.89704895019531,2,2,2,0,0,1.0,1.0,1.0,0.9340585047095635
195,52.095651626586914,2,2,2,0,0,1.0,1.0,1.0,0.9276421691859461
196,51.68318748474121,2,2,2,0,0,1.0,1.0,1.0,0.8465887307253908
197,58.373212814331055,3,3,3,0,0,1.0,1.0,1.0,0.8785002787127477
198,51.86295509338379,2,2,2,0,0,1.0,1.0,1.0,0.9383842565797418
199,51.34844779968262,2,2,2,0,0,1.0,1.0,1.0,0.944941711088189
200,51.685333251953125,2,2,2,0,0,1.0,1.0,1.0,0.9433153024759732
201,52.013397216796875,2,2,2,0,0,1.0,1.0,1.0,0.9440136455056388
202,47.12343215942383,1,1,1,0,0,1.0,1.0,1.0,0.9635327262006159
