img_id,latency_ms,num_preds,num_gts,tp,fp,fn,precision_box,recall_box,f1_box,sensitivity_box,specificity_box,mean_iou_box,mean_dice_box,tp_pixels,fp_pixels,fn_pixels,tn_pixels,sensitivity_pixel,specificity_pixel,precision_pixel,dice_pixel,iou_pixel,accuracy_pixel
21,47.41406440734863,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8159735965373399,0.8985163301586092,273325,3739,61100,710412,0.8172983479105929,0.9947644125682104,0.9865049230502699,0.8939653861312304,0.8082616718515276,0.9381647109985352
22,47.516822814941406,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8240902595414228,0.9033949177268561,273760,3280,58572,712964,0.8237545586943177,0.9954205550063945,0.9881605544325729,0.8984987823529798,0.8157038484917106,0.9410133361816406
23,47.71089553833008,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8079088356728243,0.8937009241950222,270997,4380,61877,711322,0.8141128475038604,0.9938801344693742,0.9840945322230978,0.8910696406582151,0.8035397652807676,0.9368124008178711
24,46.45347595214844,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8112349489125772,0.895589083350296,273144,3506,63820,708106,0.8106029130708325,0.9950731578444433,0.9873269474064703,0.890279556854961,0.8022557053484889,0.9357929229736328
25,46.623945236206055,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8196687306187657,0.9007094007397061,274156,4008,59991,710421,0.8204652443385696,0.9943899253809686,0.9855912339483183,0.8954795847208363,0.8107406366902752,0.9389657974243164
26,46.29945755004883,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8136135938610412,0.8970895164101651,272967,4420,61230,709959,0.8167847108142802,0.993812808047269,0.9840655834628155,0.892655792172457,0.8061231420749696,0.9373912811279297
27,45.95828056335449,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8321562339312676,0.908248352588716,275055,3117,55500,714904,0.8321005581521985,0.9956589013413256,0.9887947025581295,0.9037056020186389,0.8243274832769906,0.9440984725952148
28,46.20504379272461,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8171190913568415,0.8992750427742402,272748,4875,58545,712408,0.8232833171844862,0.9932035193919276,0.9824402156881814,0.8958477031314664,0.811344327836082,0.9395179748535156
29,46.66328430175781,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8195800729146385,0.9007055607178175,274248,3579,59920,710829,0.8206889947571282,0.9949902576678873,0.9871178827111836,0.8962426163612448,0.8119924085188025,0.9394426345825195
30,46.071529388427734,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8153164105339243,0.8981396455807973,272325,4645,60002,711604,0.819448916278244,0.9935148251515884,0.9832292306025924,0.8938990344610264,0.8081531996723763,0.9383478164672852
31,49.999237060546875,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8293026016319985,0.9065163527218479,274569,3052,56881,714074,0.8283873887464173,0.9957441230690283,0.9890065953224,0.9015993209330275,0.8208291729197433,0.9428434371948242
32,46.04744911193848,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8265632247466483,0.9048213391229409,273516,3589,57803,713668,0.825536718389226,0.9949962147459,0.987048230815034,0.8990966825766242,0.8166899566448099,0.9414520263671875
33,46.50545120239258,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8283967859808299,0.9060703244419404,276728,3592,56012,712244,0.8316643625653664,0.9949820908699758,0.9871860730593607,0.9027762372361596,0.822782250871163,0.9431571960449219
34,46.76699638366699,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8217212937214942,0.9020255335270874,274261,4430,57839,712046,0.8258386028304727,0.9938169596748531,0.984104258838642,0.8980518704434086,0.8149674620390456,0.9406156539916992
35,46.22197151184082,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8382188382346605,0.9118932919820583,276431,3441,52485,716219,0.840430383441365,0.9952185754384014,0.9877050937571461,0.9081355085842691,0.8317291346353469,0.9466648101806641
36,46.24652862548828,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8285284441112777,0.9060979393422863,273401,4029,55498,715648,0.8312612686569433,0.9944016551869798,0.9854774177269942,0.9018239272738068,0.8212015811226452,0.9432306289672852
37,46.68831825256348,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8128319030083123,0.8967401585580786,273040,4644,59180,711712,0.8218650291975197,0.9935171897771499,0.9832759539620576,0.8953540229281985,0.8105348152370095,0.9391326904296875
38,46.796321868896484,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8339525034762747,0.9092659682349071,275430,3372,55125,714649,0.8332350138403594,0.9953037585251685,0.98790539522672,0.9040020874462753,0.8248209938100244,0.9442129135131836
39,45.72153091430664,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8143464841631036,0.897561074104898,271468,4870,59825,712413,0.8194196677865213,0.9932104901412692,0.9823766546765194,0.893529131989645,0.8075487189250453,0.9383020401000977
40,48.865318298339844,2,2,2,0,0,1.0,1.0,1.0,1.0,1.0,0.8157871183327803,0.8984174939061573,272468,4662,59864,711582,0.8198668801078439,0.9934910449511619,0.983177570093458,0.8941262949946018,0.8085247808566325,0.9384632110595703
