img_id,latency_ms,num_preds,num_gts,tp,fp,fn,precision,recall,f1,mean_iou
30,15.775680541992188,2,2,1,1,1,0.5,0.5,0.5,0.952774866775179
31,14.950990676879883,2,2,1,1,1,0.5,0.5,0.5,0.8533867043403186
32,15.480279922485352,2,2,2,0,0,1.0,1.0,1.0,0.8012068999247567
33,15.964984893798828,3,2,1,2,1,0.3333333333333333,0.5,0.4,0.8785334884862301
34,15.484094619750977,1,2,1,0,1,1.0,0.5,0.6666666666666666,0.9147561163255885
35,15.030384063720703,2,2,1,1,1,0.5,0.5,0.5,0.8850144283994459
36,16.144275665283203,2,2,2,0,0,1.0,1.0,1.0,0.789989539275746
37,14.9383544921875,2,2,2,0,0,1.0,1.0,1.0,0.8275630022826868
38,15.630722045898438,4,2,1,3,1,0.25,0.5,0.3333333333333333,0.9196150346082784
39,15.735149383544922,2,2,1,1,1,0.5,0.5,0.5,0.9614533332820097
40,15.680313110351562,4,2,1,3,1,0.25,0.5,0.3333333333333333,0.8523794177677516
41,14.875411987304688,1,2,1,0,1,1.0,0.5,0.6666666666666666,0.9252338792606155
42,15.451669692993164,4,2,1,3,1,0.25,0.5,0.3333333333333333,0.9375630373180923
43,15.600919723510742,1,2,1,0,1,1.0,0.5,0.6666666666666666,0.9430467199584547
44,15.655994415283203,1,2,1,0,1,1.0,0.5,0.6666666666666666,0.9239313596660741
45,14.978408813476562,2,2,1,1,1,0.5,0.5,0.5,0.9153166263616325
46,15.623807907104492,1,2,1,0,1,1.0,0.5,0.6666666666666666,0.9483681754251374
47,15.500068664550781,2,2,1,1,1,0.5,0.5,0.5,0.9053418929265563
48,15.7318115234375,3,2,1,2,1,0.3333333333333333,0.5,0.4,0.9225253173294785
49,14.917850494384766,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.7445551714282599
50,16.378164291381836,2,2,1,1,1,0.5,0.5,0.5,0.9607303071449442
51,15.799522399902344,2,2,1,1,1,0.5,0.5,0.5,0.803343540946548
52,15.611410140991211,2,2,2,0,0,1.0,1.0,1.0,0.7168987979660186
53,15.239953994750977,2,2,1,1,1,0.5,0.5,0.5,0.7758194397187251
54,16.18790626525879,2,2,1,1,1,0.5,0.5,0.5,0.9052127193570592
55,14.938831329345703,2,2,1,1,1,0.5,0.5,0.5,0.9280674446718236
56,16.866683959960938,2,2,1,1,1,0.5,0.5,0.5,0.837867172860237
57,15.433788299560547,3,2,1,2,1,0.3333333333333333,0.5,0.4,0.9255267903460883
58,15.474557876586914,2,2,1,1,1,0.5,0.5,0.5,0.9015951044609712
59,14.930486679077148,3,2,1,2,1,0.3333333333333333,0.5,0.4,0.7166881146700983
60,15.510082244873047,2,2,1,1,1,0.5,0.5,0.5,0.9019422074846044
61,14.95504379272461,2,2,2,0,0,1.0,1.0,1.0,0.8008015752111871
62,15.48457145690918,2,2,2,0,0,1.0,1.0,1.0,0.7768810645288289
63,14.929771423339844,3,2,1,2,1,0.3333333333333333,0.5,0.4,0.9267008106551019
64,15.441417694091797,2,2,1,1,1,0.5,0.5,0.5,0.9103376216286815
65,19.887208938598633,2,2,1,1,1,0.5,0.5,0.5,0.9311039531025842
66,15.97738265991211,2,2,2,0,0,1.0,1.0,1.0,0.8771440867450616
67,14.981985092163086,3,2,1,2,1,0.3333333333333333,0.5,0.4,0.6745657173551391
68,15.312433242797852,1,2,1,0,1,1.0,0.5,0.6666666666666666,0.8955311157591705
69,15.024423599243164,4,2,1,3,1,0.25,0.5,0.3333333333333333,0.8474243843314418
70,15.804290771484375,3,1,1,2,0,0.3333333333333333,1.0,0.5,0.8763465971583975
71,14.959573745727539,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.86020759288158
72,15.50745964050293,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.9274897968367319
73,14.943361282348633,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.9105893441074306
74,16.535520553588867,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.7607809107502439
75,15.02680778503418,3,2,1,2,1,0.3333333333333333,0.5,0.4,0.9166139629015096
76,15.552043914794922,3,2,1,2,1,0.3333333333333333,0.5,0.4,0.7589890843063151
77,14.915227890014648,2,2,1,1,1,0.5,0.5,0.5,0.8357474633950817
78,15.588521957397461,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.7614562855492053
79,15.465497970581055,3,2,1,2,1,0.3333333333333333,0.5,0.4,0.8964510051956371
80,15.465736389160156,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.7321138873980259
81,14.864206314086914,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.7199873051325685
82,15.51198959350586,4,2,1,3,1,0.25,0.5,0.3333333333333333,0.8804226529016954
83,15.679359436035156,4,2,1,3,1,0.25,0.5,0.3333333333333333,0.8761787076804952
84,16.74938201904297,3,2,1,2,1,0.3333333333333333,0.5,0.4,0.8902406933581175
85,14.94145393371582,3,2,1,2,1,0.3333333333333333,0.5,0.4,0.8918578481676085
86,15.524864196777344,3,2,1,2,1,0.3333333333333333,0.5,0.4,0.8652631578947368
87,14.964818954467773,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.8490551512197366
88,15.532493591308594,3,2,1,2,1,0.3333333333333333,0.5,0.4,0.8972127475237864
89,14.93692398071289,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.7751129134246888
90,15.529394149780273,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.8162567517936552
91,14.881134033203125,2,2,1,1,1,0.5,0.5,0.5,0.9072371601275451
92,15.410184860229492,3,2,1,2,1,0.3333333333333333,0.5,0.4,0.8547353415148135
93,16.65472984313965,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.7672084129295186
94,15.468120574951172,3,2,1,2,1,0.3333333333333333,0.5,0.4,0.921955195942274
95,15.007972717285156,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.8847981405228549
96,15.465736389160156,3,2,1,2,1,0.3333333333333333,0.5,0.4,0.6889728236423784
97,14.955997467041016,3,2,1,2,1,0.3333333333333333,0.5,0.4,0.9288694308524337
98,15.81263542175293,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.7302573233031806
99,14.972209930419922,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.7361530008784358
100,15.281438827514648,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.7670960357321132
101,14.920234680175781,4,2,2,2,0,0.5,1.0,0.6666666666666666,0.8348588659785474
102,15.194177627563477,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.8691758982883511
103,16.248464584350586,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.9034678089978538
104,15.491485595703125,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.8953944603374167
105,14.905214309692383,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.8884469601244855
106,15.51961898803711,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.8951123001910082
107,14.899015426635742,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.8797161791523909
108,15.527486801147461,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.9031947649966294
109,15.401124954223633,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.8957354810184348
110,15.575408935546875,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.893922591046681
111,14.833927154541016,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.9082073922280651
112,14.981508255004883,2,2,2,0,0,1.0,1.0,1.0,0.9078787290563906
113,14.950275421142578,2,2,2,0,0,1.0,1.0,1.0,0.8989251003792393
114,15.83099365234375,2,2,2,0,0,1.0,1.0,1.0,0.8928800820758168
115,14.870166778564453,2,2,2,0,0,1.0,1.0,1.0,0.8969534880763687
116,15.725851058959961,2,2,2,0,0,1.0,1.0,1.0,0.9051098776261903
117,14.854192733764648,2,2,2,0,0,1.0,1.0,1.0,0.8947449800822747
118,15.596389770507812,2,2,2,0,0,1.0,1.0,1.0,0.895220120902186
119,15.071630477905273,2,2,2,0,0,1.0,1.0,1.0,0.8995616617941198
120,15.699625015258789,2,2,2,0,0,1.0,1.0,1.0,0.9012068430488533
121,14.943599700927734,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.896374840476796
122,15.543222427368164,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.8991729145037013
123,14.795541763305664,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.8962837552189675
124,15.235662460327148,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.9028987334705469
125,15.723228454589844,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.8862947748929897
126,15.425920486450195,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.894912507179941
127,14.957904815673828,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.9032583205336877
128,15.538692474365234,3,2,2,1,0,0.6666666666666666,1.0,0.8,0.8961226903469403
129,14.948368072509766,2,2,2,0,0,1.0,1.0,1.0,0.9004982269390296
