img_id,latency_ms,num_preds,num_gts,tp,fp,fn,precision,recall,f1,sensitivity,specificity,mean_iou,mean_dice
107,20.633935928344727,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.7302573233031806,0.8331818712737203
108,21.079063415527344,3,2,1,2,1,0.3333333333333333,0.5,0.4,0.5,0.33333333333333337,0.6889728236423784,0.8158483239020557
109,21.0726261138916,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8847981405228549,0.9387853227494717
110,21.086931228637695,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.7742131349086312,0.8661389319050128
111,21.062850952148438,3,2,1,2,1,0.3333333333333333,0.5,0.4,0.5,0.33333333333333337,0.8547353415148135,0.9216790367694482
112,21.110057830810547,3,2,1,2,1,0.3333333333333333,0.5,0.4,0.5,0.33333333333333337,0.8972127475237864,0.9458219682476992
113,21.0111141204834,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8162567517936552,0.8973003010799991
114,21.033048629760742,2,2,1,1,1,0.5,0.5,0.5,0.5,0.5,0.9072371601275451,0.9513627136615503
115,21.049976348876953,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.8490551512197366,0.9168741986217296
116,21.204471588134766,4,2,1,3,1,0.25,0.5,0.3333333333333333,0.5,0.25,0.8804226529016954,0.9364093243006918
117,22.55988121032715,3,2,1,2,1,0.3333333333333333,0.5,0.4,0.5,0.33333333333333337,0.8902406933581175,0.9419336875840457
118,20.81775665283203,4,2,1,3,1,0.25,0.5,0.3333333333333333,0.5,0.25,0.8761787076804952,0.9340034657612205
119,21.13652229309082,3,2,1,2,1,0.3333333333333333,0.5,0.4,0.5,0.33333333333333337,0.8918578481676085,0.9428381197154244
120,20.852088928222656,3,2,1,2,1,0.3333333333333333,0.5,0.4,0.5,0.33333333333333337,0.8652631578947368,0.927765237020316
121,20.929813385009766,3,2,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.6666666666666667,0.7321138873980259,0.8332938026136993
